wss-71626,Winona,Moyne,05/01/2000,SR,3.2
fgq-49837,Petronille,Bulgen,11/11/2004,SO,3.7
hku-34085,Tabbie,Baglan,06/09/2008,FR,2.0
mhf-38427,Tuck,Thornbarrow,01/08/2006,FR,2.0
kde-07286,Hervey,Gilley,12/27/2012,JR,1.6
lcp-44235,Baily,Doyle,04/16/2004,SO,2.6
wlw-43277,Darb,Belli,06/30/2014,FR,3.1
xmt-84381,Karleen,Holyland,05/16/2009,JR,3.5
kct-02399,Selinda,Waterhouse,06/30/2015,SO,2.8
kfc-30245,Araldo,Parry,02/28/2001,JR,2.9
qjn-07858,Nana,Curtain,09/06/2011,JR,3.0
pph-98899,Darb,Wastell,06/17/2008,SO,1.6
dau-83774,Ula,Chilles,01/31/2013,SR,3.5
xzp-38579,Willem,Frontczak,08/13/2007,SO,2.1
lep-85357,Zacherie,Lockey,05/25/2004,JR,1.1
vzr-94040,Atlante,Burren,08/25/2001,SR,3.0
wcj-28954,Araldo,Oxbrow,05/23/2005,JR,1.2
mca-22865,Glenine,Mears,06/05/2017,SO,2.9
vgz-47851,Jannelle,Gumme,11/02/2013,FR,3.8
uxk-90403,Pauline,O' Timony,11/10/2001,SR,1.9
bqe-63998,Marylou,Attwool,09/24/2010,SO,2.4
bmw-07608,Robinette,Buist,10/30/2018,SO,2.1
cgq-37526,Lianne,Ridulfo,11/12/2009,FR,2.4
kfl-92417,Scottie,Menier,10/01/2012,SO,3.7
tww-61211,Silvano,Hache,05/13/2008,SR,1.5
ful-68651,Robina,Tomlins,10/08/2001,JR,3.7
eag-13914,Frieda,Smitherham,05/30/2010,SO,2.9
chu-80095,Babara,Tolemache,12/25/2015,SO,2.6
ryr-66571,Linette,McNaughton,07/08/2004,JR,1.6
zrs-20500,Bambie,Cumberpatch,06/29/2020,SO,1.2
vlt-89889,Kendell,Spada,08/14/2008,JR,2.3
qsq-81865,Rob,Kunzelmann,01/17/2005,SR,2.7
apj-96625,Binnie,Patullo,12/10/2012,JR,1.7
xlr-40921,Frankie,Litchmore,03/13/2002,JR,1.7
gki-08313,Franzen,Turnor,09/08/2003,JR,1.8
fwm-06299,Tadeo,Gonet,05/17/2016,FR,1.8
sws-19495,Elliott,Barbary,05/08/2001,SR,2.1
ddd-05809,Concordia,Marwick,09/30/2009,FR,2.2
xqg-10792,Zaria,Fitzpatrick,08/08/2002,SR,1.5
fdr-08269,Meryl,Zupo,02/16/2018,JR,3.8
jjj-09950,Meredith,Beston,07/03/2015,JR,3.5
jcj-56076,Delcine,Shawell,02/27/2020,FR,3.4
rnc-01399,Sly,Patriskson,04/19/2021,SR,2.8
pxc-39407,Dewitt,Gibke,01/18/2010,SR,2.8
itt-87365,Sosanna,Derisley,06/29/2010,JR,2.4
pph-62311,Liuka,Hefford,04/25/2009,JR,1.9
age-25469,Freddie,Hamley,07/30/2003,SO,3.5
jeu-23654,Elfrida,Tomlin,05/25/2020,SR,2.5
zif-49253,Dyan,Geerling,04/07/2012,FR,3.8
jaa-30873,Yorke,Buckberry,03/19/2005,JR,2.0
ycu-92413,Bab,Hayer,03/04/2021,SO,3.7
gcy-71507,Jessalyn,Skey,07/09/2008,JR,2.4
frk-21548,Maurise,Brittain,03/16/2020,FR,1.4
lmt-28249,Dre,Ingree,06/11/2011,SR,3.3
nxs-68996,Dot,Hooban,10/19/2008,FR,1.0
vfx-99276,Siusan,Filipov,08/28/2019,SR,3.3
xlo-01998,Tanny,Westley,08/10/2008,JR,2.6
rau-60715,Cchaddie,De Ath,10/25/2014,SR,1.7
vhh-80943,Ollie,Sainter,07/05/2016,SO,1.5
cwf-27089,Baird,Clougher,06/07/2004,FR,2.7
znc-33311,Donnie,Thorn,06/02/2015,FR,1.3
tng-42309,Berkley,Casoni,02/04/2002,FR,3.5
jcb-76649,Ulick,Cody,06/04/2014,SO,1.5
jeu-22982,Marja,Wooff,08/21/2007,FR,1.5
mrr-34208,Robbert,Guyer,02/11/2010,JR,2.5
yxc-44939,Ricki,Zannolli,08/24/2004,FR,2.9
ozk-12685,Maia,Smiley,08/28/2016,JR,3.6
khy-94113,Tadd,Shout,09/19/2015,FR,2.6
wvt-91121,Coriss,Duckerin,07/07/2012,SO,1.7
jvy-49754,Benson,Downton,11/20/2020,SO,1.5
ljz-25005,Lynnet,Thames,04/08/2006,FR,3.6
luc-96728,Packston,Goodright,06/05/2001,SR,2.9
bgi-34242,Rogerio,Porrett,06/25/2015,JR,1.4
lxt-54859,Tadeas,Isack,09/26/2007,SO,1.2
ghs-44199,Welbie,Gullberg,06/20/2009,SO,1.9
mrn-47230,Grethel,Whitlam,10/07/2018,FR,1.7
tdn-71988,Margret,Lambert,04/21/2005,SR,1.4
gej-45492,Elias,Verryan,09/23/2004,FR,3.4
utz-19235,Aggie,Lowes,08/09/2007,FR,3.0
lqk-98264,Peyter,Gorriessen,03/28/2003,SR,3.4
ort-90306,Reine,Crossman,08/25/2007,SO,3.3
erj-50782,Mayer,Czaple,06/29/2008,JR,3.9
zvw-57395,Jeffry,MacFall,02/21/2004,SR,1.6
